brand,price,number_of_seat,start_time,start_day,end_day,end_time,trip_time,take_place,destination,location,id
Dinh Nhan,550000,32 chỗ ngồi,08:30,20-05-2024,21-05-2024,03:00,18 giờ 30 phút,"VP Tân Bình 306A Hồng Lạc, Phường 11",VP Đà Nẵng 166 Điện Biên Phủ,Đà Nẵng,1
Phi Long,580000,38 chỗ ngồi,08:00,21-05-2024,22-05-2024,01:50,17 giờ 50 phút,"Bến xe Ngã Tư Ga 720 Quốc lộ 1A, P. Thạnh Lộc, Q.12, Tp. Hồ Chí Minh",Cầu Vượt Hòa Cầm Cầu Vượt Hòa Cầm,Đà Nẵng,2
Dinh Nhan,550000,32 chỗ ngồi,08:30,21-05-2024,22-05-2024,03:00,18 giờ 30 phút,"VP Tân Bình 306A Hồng Lạc, Phường 11",VP Đà Nẵng 166 Điện Biên Phủ,Đà Nẵng,3
Phi Long,580000,38 chỗ ngồi,08:30,21-05-2024,22-05-2024,01:50,17 giờ 20 phút,Cổng Bến xe Miền Đông Mới (TP HCM) Cổng Bến xe Miền Đông Mới (TP HCM),Cầu Vượt Hòa Cầm Cầu Vượt Hòa Cầm,Đà Nẵng,4
Dinh Nhan,550000,32 chỗ ngồi,08:30,22-05-2024,23-05-2024,03:00,18 giờ 30 phút,"VP Tân Bình 306A Hồng Lạc, Phường 11",VP Đà Nẵng 166 Điện Biên Phủ,Đà Nẵng,5
Phi Long,580000,38 chỗ ngồi,08:00,23-05-2024,24-05-2024,01:50,17 giờ 50 phút,"Bến xe Ngã Tư Ga 720 Quốc lộ 1A, P. Thạnh Lộc, Q.12, Tp. Hồ Chí Minh",Cầu Vượt Hòa Cầm Cầu Vượt Hòa Cầm,Đà Nẵng,6
Dinh Nhan,550000,32 chỗ ngồi,08:30,23-05-2024,24-05-2024,03:00,18 giờ 30 phút,"VP Tân Bình 306A Hồng Lạc, Phường 11",VP Đà Nẵng 166 Điện Biên Phủ,Đà Nẵng,7
Phi Long,580000,38 chỗ ngồi,08:30,23-05-2024,24-05-2024,01:50,17 giờ 20 phút,Cổng Bến xe Miền Đông Mới (TP HCM) Cổng Bến xe Miền Đông Mới (TP HCM),Cầu Vượt Hòa Cầm Cầu Vượt Hòa Cầm,Đà Nẵng,8
Dinh Nhan,550000,32 chỗ ngồi,08:30,24-05-2024,25-05-2024,03:00,18 giờ 30 phút,"VP Tân Bình 306A Hồng Lạc, Phường 11",VP Đà Nẵng 166 Điện Biên Phủ,Đà Nẵng,9
Cuc Tung,450000,21 chỗ ngồi,08:00,20-05-2024,20-05-2024,16:00,8 giờ ,"Bến xe Miền Đông mới A Số 501, đường Hoàng Hữu Nam","Bến Xe Phía Nam Nha Trang Km số 6, đường 23/10, TP. Nha Trang, Khánh Hòa",Nha Trang,10
Cuc Tung,450000,21 chỗ ngồi,08:00,20-05-2024,20-05-2024,16:20,8 giờ 20 phút,"Bến xe Miền Đông mới A Số 501, đường Hoàng Hữu Nam","Bến Xe Phía Nam Nha Trang Km số 6, đường 23/10, TP. Nha Trang, Khánh Hòa",Nha Trang,11
Cuc Tung,450000,21 chỗ ngồi,09:30,20-05-2024,20-05-2024,17:50,8 giờ 20 phút,"Bến xe Miền Đông mới A Số 501, đường Hoàng Hữu Nam","Bến Xe Phía Nam Nha Trang Km số 6, đường 23/10, TP. Nha Trang, Khánh Hòa",Nha Trang,12
