brand,price,number_of_seat,start_time,start_day,end_day,end_time,trip_time,take_place,destination,location
Lien Hung,290000,34 chỗ ngồi,01:30,21-05-2024,21-05-2024,10:00,8 giờ 30 phút,"Ngã 4 An Sương Siêu thị đá Granite & Marble Tây Nam, 2555 QL1A, Khu Phố 3","Bưu điện Cam Lâm QL 1, T.T Cam Đức",Nha Trang
Huynh Gia,300000,38 chỗ ngồi,11:45,21-05-2024,21-05-2024,19:00,7 giờ 15 phút,VP Phạm Ngũ Lão 275H Phạm Ngũ Lão, Ninh Hoà 582 Trần Quý Cáp,Nha Trang
Huynh Gia,480000,21 chỗ ngồi,12:30,21-05-2024,21-05-2024,19:45,7 giờ 15 phút,VP Phạm Ngũ Lão 275H Phạm Ngũ Lão, Ninh Hoà 582 Trần Quý Cáp,Nha Trang
Lien Hung,290000,32 chỗ ngồi,13:15,21-05-2024,21-05-2024,21:00,7 giờ 45 phút,"Bến xe Miền Đông mới Số 501, đường Hoàng Hữu Nam","Bưu điện Cam Lâm QL 1, T.T Cam Đức",Nha Trang
Lien Hung,290000,32 chỗ ngồi,13:30,21-05-2024,21-05-2024,23:00,9 giờ 30 phút,"Ngã 4 An Sương Siêu thị đá Granite & Marble Tây Nam, 2555 QL1A, Khu Phố 3","Bưu điện Cam Lâm QL 1, T.T Cam Đức",Nha Trang
Lien Hung,300000,32 chỗ ngồi,14:15,21-05-2024,22-05-2024,00:00,9 giờ 45 phút,Cổng Đại Học Nông Lâm (QL1A) QL1A,Bến xe Ninh Hòa QL1A,Nha Trang
Hong Son (Phu Yen),290000,34 chỗ ngồi,18:00,21-05-2024,22-05-2024,03:20,9 giờ 20 phút,"Bến xe Miền Đông 292 Đinh Bộ Lĩnh, Phường 26",Ninh Hòa QL1A QL1A,Nha Trang
Lien Hung,290000,32 chỗ ngồi,18:00,21-05-2024,22-05-2024,04:00,10 giờ ,"Ngã 4 An Sương Siêu thị đá Granite & Marble Tây Nam, 2555 QL1A, Khu Phố 3","Bưu điện Cam Lâm QL 1, T.T Cam Đức",Nha Trang
Huynh Gia,280000,38 chỗ ngồi,19:00,21-05-2024,22-05-2024,04:45,9 giờ 45 phút,VP Phạm Ngũ Lão 275H Phạm Ngũ Lão, Ninh Hoà 582 Trần Quý Cáp,Nha Trang
Hong Son (Phu Yen),400000,22 chỗ ngồi,19:03,21-05-2024,22-05-2024,04:38,9 giờ 35 phút,"Bến xe Miền Đông 292 Đinh Bộ Lĩnh, Phường 26",Ninh Hòa QL1A QL1A,Nha Trang
