brand,price,start_time,start_day,end_day,end_time,trip_time,take_place,destination,trip_to,id
Vietnam Airlines,1556975,20:05,20-05-2024,20-05-2024,21:20,1h 15m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Nha Trang (CXR)
Sân bay Cam Ranh",Nha Trang,1
Vietnam Airlines,1556975,20:05,20-05-2024,20-05-2024,21:20,1h 15m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Nha Trang (CXR)
Sân bay Cam Ranh",Nha Trang,2
Vietnam Airlines,1556975,20:05,20-05-2024,20-05-2024,21:20,1h 15m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Nha Trang (CXR)
Sân bay Cam Ranh",Nha Trang,3
VietJet Air,673794,19:45,21-05-2024,21-05-2024,20:45,1h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Nha Trang (CXR)
Sân bay Cam Ranh",Nha Trang,4
VietJet Air,887634,17:30,21-05-2024,21-05-2024,18:30,1h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Nha Trang (CXR)
Sân bay Cam Ranh",Nha Trang,5
Bamboo Airways,929675,09:35,21-05-2024,21-05-2024,10:45,1h 10m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất","Nha Trang (CXR)
Sân bay Cam Ranh",Nha Trang,6
VietJet Air,971014,14:25,21-05-2024,21-05-2024,15:25,1h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Nha Trang (CXR)
Sân bay Cam Ranh",Nha Trang,7
Vietnam Airlines,1125450,11:45,21-05-2024,21-05-2024,13:00,1h 15m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Nha Trang (CXR)
Sân bay Cam Ranh",Nha Trang,8
Vietnam Airlines,1125450,20:05,21-05-2024,21-05-2024,21:20,1h 15m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Nha Trang (CXR)
Sân bay Cam Ranh",Nha Trang,9
Vietnam Airlines,1457550,12:15,21-05-2024,21-05-2024,13:30,1h 15m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Nha Trang (CXR)
Sân bay Cam Ranh",Nha Trang,10
Vietnam Airlines,1457550,14:10,21-05-2024,21-05-2024,15:25,1h 15m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Nha Trang (CXR)
Sân bay Cam Ranh",Nha Trang,11
Vietnam Airlines,1457550,06:40,21-05-2024,21-05-2024,08:00,1h 20m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Nha Trang (CXR)
Sân bay Cam Ranh",Nha Trang,12
Vietnam Airlines,15765389,23:00,21-05-2024,22-05-2024,01:20,2h 20m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài",Nha Trang,13
Vietnam Airlines,15765389,22:00,21-05-2024,22-05-2024,00:10,2h 10m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài",Nha Trang,14
Vietnam Airlines,15765389,23:00,21-05-2024,22-05-2024,01:20,2h 20m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài",Nha Trang,15
Vietnam Airlines,15765389,22:00,21-05-2024,22-05-2024,00:10,2h 10m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài",Nha Trang,16
Vietnam Airlines,16629592,21:00,21-05-2024,21-05-2024,23:15,2h 15m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài",Nha Trang,17
Vietnam Airlines,16629592,21:00,21-05-2024,21-05-2024,23:15,2h 15m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài",Nha Trang,18
Vietnam Airlines,18589896,19:10,21-05-2024,21-05-2024,20:40,1h 30m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Huế (HUI)
Sân bay quốc tế Phú Bài",Nha Trang,19
VietJet Air,588258,19:20,22-05-2024,22-05-2024,20:20,1h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Nha Trang (CXR)
Sân bay Cam Ranh",Nha Trang,20
VietJet Air,588258,20:00,22-05-2024,22-05-2024,21:00,1h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Nha Trang (CXR)
Sân bay Cam Ranh",Nha Trang,21
Bamboo Airways,818975,09:35,22-05-2024,22-05-2024,10:45,1h 10m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất","Nha Trang (CXR)
Sân bay Cam Ranh",Nha Trang,22
VietJet Air,905566,17:00,22-05-2024,22-05-2024,18:00,1h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Nha Trang (CXR)
Sân bay Cam Ranh",Nha Trang,23
VietJet Air,971014,14:25,22-05-2024,22-05-2024,15:25,1h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Nha Trang (CXR)
Sân bay Cam Ranh",Nha Trang,24
Vietnam Airlines,1125450,13:35,22-05-2024,22-05-2024,14:50,1h 15m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Nha Trang (CXR)
Sân bay Cam Ranh",Nha Trang,25
Vietnam Airlines,1236150,14:10,22-05-2024,22-05-2024,15:25,1h 15m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Nha Trang (CXR)
Sân bay Cam Ranh",Nha Trang,26
Vietnam Airlines,1236150,20:05,22-05-2024,22-05-2024,21:20,1h 15m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Nha Trang (CXR)
Sân bay Cam Ranh",Nha Trang,27
Vietnam Airlines,1346850,12:15,22-05-2024,22-05-2024,13:30,1h 15m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Nha Trang (CXR)
Sân bay Cam Ranh",Nha Trang,28
Vietnam Airlines,1346850,06:40,22-05-2024,22-05-2024,08:00,1h 20m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Nha Trang (CXR)
Sân bay Cam Ranh",Nha Trang,29
Vietnam Airlines,12252490,23:00,22-05-2024,23-05-2024,01:20,2h 20m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài",Nha Trang,30
Vietnam Airlines,12252490,22:00,22-05-2024,23-05-2024,00:10,2h 10m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài",Nha Trang,31
Vietnam Airlines,12252490,21:00,22-05-2024,22-05-2024,23:15,2h 15m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài",Nha Trang,32
Vietnam Airlines,13109652,20:00,22-05-2024,22-05-2024,22:15,2h 15m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài",Nha Trang,33
Vietnam Airlines,13709090,23:00,22-05-2024,23-05-2024,01:20,2h 20m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài",Nha Trang,34
Vietnam Airlines,13709090,22:00,22-05-2024,23-05-2024,00:10,2h 10m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài",Nha Trang,35
Vietnam Airlines,13709090,21:00,22-05-2024,22-05-2024,23:15,2h 15m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài",Nha Trang,36
